nome,valor,cpf,matricula,inclusao
Samuel Pereira,351.60,971.342.617-78,35007,6/21/2019
José Alves,378.29,248.391.114-56,21290,6/26/2019
Melissa Santos,324.74,895.706.927-58,39374,6/28/2019
Marisa Gomes,636.52,770.230.371-95,16837,6/4/2019
Caio Dias,790.43,759.261.542-86,43711,6/2/2019
Kaua Barbosa,877.61,676.969.272-48,37307,6/26/2019
Alice Alves,355.73,671.143.851-53,48679,6/3/2019
Luiza Silva,823.62,655.742.202-29,26355,6/26/2019
Alex Correia,968.90,104.073.998-95,32704,6/3/2019
Evelyn Silva,590.58,628.166.086-20,31863,6/11/2019
Breno Lima,175.11,544.620.214-79,40030,6/2/2019
Bruno Rodrigues,276.68,197.996.612-50,25583,6/11/2019
Guilherme Pereira,423.39,668.655.842-79,18805,6/2/2019
André Alves,422.41,779.040.053-36,45981,6/17/2019
Fábio Alves,723.38,801.627.457-96,33751,6/17/2019
Murilo Ribeiro,387.96,495.273.806-00,29254,6/25/2019
Matheus Goncalves,600.24,991.862.883-93,35018,6/5/2019
Leonardo Rodrigues,703.41,155.418.170-48,25464,6/27/2019
Luan Martins,835.48,359.778.945-54,28200,6/30/2019
Anna Ferreira,595.17,277.418.392-84,48785,6/22/2019
Davi Sousa,196.75,711.457.325-18,25476,6/25/2019
Sarah Fernandes,397.94,779.717.957-34,42928,6/14/2019
Mateus Fernandes,907.43,884.733.296-60,30842,6/29/2019
Eduarda Barbosa,376.72,762.271.401-12,49091,6/6/2019
Vinícius Azevedo,735.71,721.999.648-92,18378,6/25/2019
Emilly Martins,990.09,984.863.877-60,35027,6/29/2019
Bianca Castro,399.57,237.631.754-15,42792,6/26/2019
Kauê Gomes,766.02,665.644.414-87,12019,6/26/2019
Larissa Ferreira,278.57,164.562.289-48,19891,6/7/2019
Kauã Barros,956.03,697.996.362-72,46169,6/29/2019
Samuel Correia,640.38,503.277.061-20,30466,6/25/2019
Victor Barbosa,244.59,904.590.440-36,14658,6/9/2019
Luís Almeida,737.24,359.051.634-80,35664,6/28/2019
Luiza Silva,664.60,396.302.303-13,20700,6/18/2019
Igor Lima,753.45,366.916.516-93,28691,6/24/2019
Nicole Martins,407.48,221.645.882-15,15833,6/11/2019
Renan Martins,486.49,589.742.125-01,36086,6/17/2019
Luan Oliveira,767.10,968.951.240-47,31472,6/11/2019
Vitór Pinto,799.21,767.182.217-59,15627,6/26/2019
Otávio Barbosa,374.43,744.885.941-23,21740,6/18/2019
Nicole Gomes,333.07,792.773.778-36,25501,6/20/2019
Douglas Almeida,781.28,421.924.035-77,29879,6/12/2019
Júlia Souza,905.22,938.015.008-37,42883,6/9/2019
Julian Costa,154.56,138.224.424-02,36277,6/27/2019
Kaua Oliveira,951.12,557.399.649-54,33658,6/4/2019
Bianca Araujo,281.78,669.012.319-70,26150,6/17/2019
Brenda Gomes,767.86,761.726.283-30,31881,6/10/2019
Vitória Barbosa,592.67,493.523.941-78,44439,6/22/2019
Igor Carvalho,150.31,520.466.229-44,24959,6/20/2019
Gabrielly Barros,750.28,138.743.333-45,39553,6/20/2019
Leila Castro,330.69,461.898.243-82,22824,6/26/2019
Luiz Carvalho,738.04,119.574.761-68,21215,6/12/2019
Diogo Cunha,278.34,593.547.481-63,32708,6/6/2019
Vitor Melo,455.92,804.859.075-18,38866,6/24/2019
Vitór Carvalho,749.72,547.096.277-62,20231,6/14/2019
Isabelle Araujo,848.67,751.199.625-64,36620,6/12/2019
Giovana Barbosa,455.64,532.059.915-32,19734,6/3/2019
Sofia Azevedo,441.17,828.385.476-31,43917,6/5/2019
Giovanna Lima,178.56,967.585.016-71,17101,6/18/2019
Eduarda Araujo,598.67,462.224.237-01,23576,6/10/2019
Júlio Silva,165.43,259.924.901-59,12495,6/14/2019
Gabrielly Cunha,112.09,607.980.497-23,18158,6/11/2019
Eduardo Goncalves,642.27,509.292.068-86,45102,6/25/2019
Victor Oliveira,964.07,511.309.491-92,46878,6/22/2019
Davi Castro,473.02,539.807.366-44,21452,6/26/2019
Rafael Dias,660.61,483.532.989-96,40550,6/15/2019
Ryan Sousa,716.48,977.868.992-00,15376,6/5/2019
Marcos Carvalho,407.27,589.389.101-56,38890,6/2/2019
Manuela Santos,474.86,959.720.889-08,11068,6/8/2019
Letícia Rocha,976.06,121.478.906-42,45329,6/25/2019
Beatriz Silva,814.53,877.158.264-99,26895,6/1/2019
Matilde Pereira,550.04,738.576.655-21,21837,6/15/2019
Otávio Souza,652.59,700.483.233-30,26465,6/1/2019
Marcos Pereira,934.57,398.396.425-70,16154,6/26/2019
Caio Gomes,956.06,862.003.184-84,17747,6/22/2019
Matheus Barbosa,552.70,892.975.023-00,48820,6/28/2019
Diego Sousa,755.41,760.761.587-35,35602,6/12/2019
Kai Pereira,354.81,266.560.490-60,27945,6/6/2019
Marisa Castro,283.39,505.635.493-78,29535,6/12/2019
Kauã Almeida,148.60,958.784.027-50,26720,6/9/2019
Eduarda Goncalves,973.64,219.950.306-27,25183,6/8/2019
Isabela Pereira,709.66,545.389.364-80,10426,6/22/2019
Melissa Correia,669.50,608.433.204-86,21932,6/16/2019
Miguel Rocha,815.95,221.902.582-94,25174,6/2/2019
Maria Ribeiro,753.18,283.865.117-02,19717,6/19/2019
Kauê Barbosa,738.59,166.937.096-80,49121,6/29/2019
Rafael Goncalves,369.10,340.882.627-78,25415,6/29/2019
Luiza Dias,199.99,386.626.042-34,25859,6/1/2019
Isabelle Pinto,560.32,459.417.297-07,43271,6/18/2019
Martim Rodrigues,964.80,538.436.782-27,20902,6/13/2019
Antônio Correia,790.01,585.186.606-37,28261,6/28/2019
Giovanna Gomes,821.35,134.885.432-42,20380,6/16/2019
Camila Cavalcanti,490.22,977.154.408-09,10934,6/26/2019
João Rocha,436.93,316.325.199-41,33521,6/17/2019
Luan Pereira,525.67,802.586.351-42,10377,6/28/2019
Luiza Cardoso,279.03,597.693.449-82,49097,6/23/2019
Lucas Gomes,327.01,529.934.599-29,14195,6/11/2019
Gabrielly Sousa,173.98,669.397.623-96,45627,6/20/2019
Fernanda Rocha,976.05,342.952.721-08,18535,6/3/2019
Eduardo Cunha,523.85,197.691.888-08,41372,6/19/2019
Estevan Goncalves,821.19,393.021.341-99,23873,6/1/2019
Lara Rodrigues,977.26,940.836.164-40,37341,6/6/2019
Leonardo Alves,681.57,110.478.815-27,23395,6/15/2019
Sophia Silva,356.72,872.900.137-43,21490,6/3/2019
Diego Gomes,498.18,132.564.942-26,28344,6/10/2019
Tiago Rocha,346.64,411.407.184-95,32639,6/4/2019
Ryan Melo,507.37,300.221.422-15,28202,6/19/2019
Camila Goncalves,118.97,295.931.732-77,38110,6/6/2019
Pedro Melo,375.56,364.035.881-33,29973,6/2/2019
Enzo Correia,650.07,951.888.417-03,33529,6/7/2019
João Rocha,240.98,632.314.560-02,23087,6/6/2019
Aline Souza,502.41,533.036.719-07,42577,6/23/2019
Letícia Barros,221.28,907.495.495-21,25995,6/27/2019
Julia Oliveira,195.40,491.567.360-02,49409,6/6/2019
Giovanna Almeida,188.29,205.651.481-84,11952,6/2/2019
Lara Pereira,539.43,765.060.857-38,48916,6/1/2019
João Souza,136.45,667.669.781-55,16873,6/23/2019
Beatrice Dias,979.23,495.356.567-32,32546,6/8/2019
Vitór Costa,949.95,206.198.245-06,31501,6/30/2019
Diego Rodrigues,371.83,550.224.107-61,16666,6/17/2019
Felipe Rodrigues,195.85,553.391.138-33,23321,6/1/2019
Kauã Martins,529.30,895.960.246-98,45030,6/27/2019
Ryan Silva,969.87,784.118.998-29,33383,6/25/2019
Beatriz Santos,617.42,536.364.416-98,10550,6/29/2019
Isabela Cunha,648.85,680.109.154-91,27453,6/30/2019
Giovana Carvalho,484.76,842.186.205-71,30884,6/26/2019
Felipe Cavalcanti,313.08,836.263.584-37,13232,6/29/2019
Vinícius Santos,438.51,529.042.848-85,23759,6/25/2019
Martim Dias,765.99,116.833.789-54,20597,6/16/2019
Murilo Castro,179.90,435.186.496-63,44718,6/10/2019
Mateus Rocha,967.10,377.152.469-56,14742,6/13/2019
Diogo Araujo,503.12,825.478.834-06,28171,6/1/2019
Rafael Rodrigues,323.07,187.087.730-68,49176,6/21/2019
Gabrielly Pinto,102.43,887.178.104-00,40884,6/26/2019
Tiago Goncalves,434.57,393.491.355-58,48432,6/27/2019
Carolina Pereira,398.44,707.993.357-97,39234,6/12/2019
Marisa Ferreira,149.35,778.903.474-05,12936,6/27/2019
Tânia Fernandes,135.45,202.566.505-94,24949,6/19/2019
Luiz Pinto,919.65,148.906.367-65,32550,6/19/2019
Ágatha Alves,341.41,351.446.748-01,20547,6/25/2019
Giovana Castro,965.69,359.407.093-03,17323,6/14/2019
Mateus Cavalcanti,384.74,259.743.778-77,43086,6/1/2019
Júlio Barbosa,562.85,936.575.504-29,17884,6/14/2019
Vinícius Castro,325.08,688.702.829-88,37529,6/5/2019
Leonor Barros,328.52,383.120.366-01,12725,6/15/2019
Igor Costa,320.28,206.428.009-01,10533,6/29/2019
Sophia Dias,533.21,875.000.884-69,40707,6/9/2019
Vitoria Lima,758.43,417.826.208-42,25086,6/20/2019
Emily Fernandes,487.20,400.013.190-78,18949,6/7/2019
Cauã Sousa,791.47,683.341.044-56,15168,6/17/2019
Vitór Almeida,125.19,961.404.333-47,20836,6/1/2019
Emilly Goncalves,183.08,907.233.234-29,15684,6/17/2019
Fábio Pereira,884.64,225.058.095-26,22000,6/4/2019
Vitoria Barbosa,298.28,153.007.225-53,21972,6/20/2019
Eduarda Melo,775.09,742.358.245-03,40448,6/30/2019
Sophia Gomes,632.53,975.591.914-79,33657,6/18/2019
Kauã Santos,702.12,227.563.151-84,20245,6/27/2019
Evelyn Cunha,745.89,150.749.479-36,44181,6/12/2019
Gustavo Ribeiro,860.62,314.846.405-27,28158,6/29/2019
Rodrigo Ribeiro,105.59,812.589.162-58,49831,6/11/2019
Camila Souza,293.25,444.510.892-80,47119,6/10/2019
Camila Almeida,540.48,653.373.239-03,37212,6/16/2019
José Martins,652.43,368.616.989-46,16143,6/8/2019
Fábio Pereira,139.91,697.533.948-10,27270,6/7/2019
Miguel Ribeiro,875.45,955.110.426-92,44245,6/24/2019
Eduarda Castro,623.55,885.081.972-25,25137,6/25/2019
Bruna Silva,263.15,278.371.212-10,29621,6/11/2019
Cauã Castro,350.27,432.676.667-08,11089,6/20/2019
Fernanda Ribeiro,678.83,374.039.350-55,48353,6/7/2019
Rafael Rocha,625.38,153.741.654-53,16386,6/28/2019
Martim Souza,709.29,811.870.555-22,21007,6/27/2019
Mariana Costa,148.44,832.349.083-03,25079,6/13/2019
Matheus Carvalho,660.78,759.242.266-20,41642,6/21/2019
Miguel Ferreira,393.65,786.396.359-19,41766,6/6/2019
Bruna Oliveira,539.33,646.660.582-57,26564,6/25/2019
Vitoria Souza,716.32,951.648.120-53,14988,6/25/2019
Ana Rocha,889.48,385.093.794-16,22199,6/28/2019
Emilly Pereira,755.73,112.218.815-31,49698,6/9/2019
Livia Pereira,680.45,331.899.585-13,26775,6/22/2019
Eduarda Dias,247.72,632.691.683-65,25471,6/18/2019
Vinicius Rodrigues,636.63,170.554.227-10,27369,6/3/2019
Thaís Melo,569.22,723.547.304-54,11504,6/7/2019
Vitória Fernandes,253.59,364.792.063-04,16439,6/19/2019
Anna Gomes,724.60,195.482.326-69,27923,6/22/2019
Manuela Sousa,578.17,399.525.227-38,25531,6/26/2019
Diego Dias,540.14,705.029.286-97,13859,6/26/2019
Daniel Fernandes,963.49,575.118.169-75,44532,6/14/2019
Isabella Sousa,178.63,832.520.039-10,36709,6/7/2019
Gabriela Cardoso,782.71,275.925.303-17,48512,6/3/2019
Caio Cunha,343.11,857.278.656-20,26598,6/15/2019
Rafael Fernandes,482.24,211.737.375-53,19166,6/13/2019
Gustavo Carvalho,699.52,439.040.102-55,27650,6/23/2019
Anna Alves,663.47,933.216.254-90,25194,6/17/2019
Gabriel Cavalcanti,397.73,191.738.435-12,45642,6/24/2019
Vitór Costa,894.41,849.532.502-06,48009,6/13/2019
Alice Ribeiro,824.73,334.532.274-92,22612,6/19/2019
Bruna Costa,448.21,197.291.973-34,45859,6/30/2019
Thaís Santos,438.71,777.354.701-77,34463,6/3/2019
Pedro Sousa,736.34,222.186.708-44,38238,6/9/2019
Pedro Ferreira,270.17,250.222.754-22,46301,6/21/2019
Diogo Melo,411.19,157.512.716-45,30273,6/8/2019
Erick Carvalho,257.18,597.631.250-06,20912,6/12/2019
Tânia Barbosa,516.90,461.090.304-06,18583,6/23/2019
Cauã Santos,827.79,215.799.358-42,34648,6/12/2019
Sarah Almeida,665.10,415.641.201-63,46703,6/2/2019
Murilo Gomes,311.10,516.035.526-00,43829,6/28/2019
Fábio Cardoso,664.68,738.165.094-01,31235,6/25/2019
Diogo Rocha,845.11,695.856.191-05,35987,6/4/2019
Tânia Dias,660.09,950.925.739-70,46904,6/9/2019
Erick Santos,550.11,753.047.243-72,34262,6/5/2019
Livia Almeida,234.27,724.302.223-53,11768,6/20/2019
Davi Martins,984.83,487.714.795-03,44251,6/9/2019
Ágatha Melo,627.10,678.758.614-03,49563,6/6/2019
Marcos Martins,386.21,487.955.027-26,27100,6/6/2019
João Correia,616.73,951.934.432-22,13517,6/21/2019
Antônio Correia,658.09,124.563.082-20,23810,6/18/2019
Samuel Ferreira,335.17,662.434.889-50,13729,6/8/2019
Thiago Goncalves,282.52,839.000.331-70,15871,6/19/2019
Luís Costa,276.38,102.697.362-71,44848,6/11/2019
Kai Sousa,893.67,236.926.384-93,34461,6/7/2019
Bianca Cardoso,149.68,611.862.504-29,45235,6/20/2019
Luiza Correia,444.00,561.330.943-46,38863,6/19/2019
Nicolash Barros,727.90,689.560.488-00,43256,6/29/2019
Anna Costa,224.50,897.218.674-03,27229,6/12/2019
Carlos Araujo,934.27,249.750.665-56,29495,6/16/2019
Kai Dias,805.45,449.462.502-71,34127,6/8/2019
Vitor Souza,819.53,686.235.952-54,42685,6/8/2019
Miguel Rodrigues,243.28,690.511.750-19,16050,6/22/2019
Fernanda Barros,149.71,881.112.479-40,45624,6/14/2019
Matilde Barbosa,394.41,535.917.893-05,47662,6/3/2019
Fernanda Gomes,582.54,947.862.382-60,44187,6/2/2019
Luiza Melo,131.90,844.315.533-71,27225,6/9/2019
Raissa Fernandes,169.64,866.287.077-50,13500,6/11/2019
Matilde Correia,651.26,460.597.392-37,33197,6/6/2019
Livia Barbosa,386.54,650.252.277-71,29787,6/10/2019
Leonor Rodrigues,620.51,458.114.670-44,32518,6/1/2019
Matilde Azevedo,704.72,878.543.294-60,10393,6/19/2019
Murilo Silva,668.45,144.578.995-77,26911,6/17/2019
Leila Fernandes,796.80,652.773.148-57,32390,6/5/2019
Nicolas Cunha,322.87,706.993.057-72,48682,6/23/2019
Antônio Souza,298.28,679.496.172-50,47248,6/3/2019
Tânia Correia,594.42,416.083.077-35,21574,6/13/2019
Aline Cavalcanti,907.04,307.199.855-44,49391,6/16/2019
Maria Almeida,831.83,989.343.690-78,33708,6/29/2019
Eduarda Oliveira,484.85,335.506.657-50,35810,6/22/2019
Nicolas Barros,750.54,120.949.996-70,20602,6/28/2019
Nicole Souza,662.17,860.150.222-99,24936,6/1/2019
Ágatha Ribeiro,393.11,977.987.043-10,22186,6/10/2019
Melissa Alves,234.81,231.295.467-23,10632,6/27/2019
Beatrice Azevedo,900.39,706.245.442-73,48165,6/28/2019
Laura Cardoso,550.93,150.573.284-09,21907,6/10/2019
Arthur Rocha,485.05,506.095.049-24,39690,6/14/2019
Matilde Oliveira,705.26,176.854.218-01,29151,6/23/2019
Vinicius Dias,329.58,910.570.074-47,11260,6/11/2019
Marisa Barbosa,529.45,250.779.749-50,27388,6/27/2019
Marcos Azevedo,965.45,825.706.763-65,29559,6/30/2019
Tiago Pinto,905.04,100.723.295-13,19295,6/23/2019
Emily Lima,408.09,150.749.619-20,42879,6/8/2019
Gabriel Costa,236.88,352.188.171-71,44363,6/18/2019
Luiza Ribeiro,481.77,941.075.540-90,44674,6/15/2019
Maria Santos,115.92,461.841.870-23,41454,6/11/2019
Mateus Gomes,116.86,876.814.219-63,10572,6/22/2019
Carla Alves,638.48,284.800.732-09,44534,6/18/2019
Isabela Dias,478.35,883.181.141-08,31735,6/27/2019
Gabriel Gomes,287.81,330.419.686-22,40527,6/18/2019
Kai Correia,234.61,894.358.594-29,29402,6/3/2019
Gabriel Pereira,833.42,100.614.890-69,41251,6/25/2019
Amanda Cardoso,485.79,354.950.356-31,35627,6/16/2019
Erick Silva,841.21,504.637.813-25,49767,6/2/2019
Luís Ribeiro,1000.64,303.175.884-60,17940,6/22/2019
Erick Pinto,821.90,566.632.578-70,13771,6/24/2019
Alice Goncalves,970.60,443.095.842-41,44576,6/16/2019
Bruno Araujo,158.40,419.867.151-67,39201,6/15/2019
Brenda Ribeiro,133.11,281.436.764-12,45504,6/20/2019
Aline Barbosa,683.80,583.208.351-27,21929,6/23/2019
Letícia Martins,829.73,669.366.422-92,34918,6/14/2019
Kauan Santos,837.49,478.513.380-50,20676,6/8/2019
Davi Almeida,601.98,136.134.290-04,36752,6/7/2019
Carlos Almeida,506.01,560.938.431-14,42351,6/25/2019
Gabrielle Gomes,163.91,565.967.020-22,13065,6/19/2019
Luiza Santos,356.91,224.391.860-90,37787,6/19/2019
Fernanda Costa,824.77,280.957.021-37,40639,6/25/2019
Vinicius Rocha,145.15,313.357.676-30,47681,6/24/2019
Lucas Santos,727.53,560.474.322-47,24725,6/8/2019
Aline Dias,836.17,558.749.861-11,45305,6/8/2019
Eduarda Cavalcanti,265.26,732.101.044-92,27190,6/21/2019
José Pinto,436.42,461.807.128-16,44403,6/27/2019
Sarah Pinto,636.99,189.031.194-44,14487,6/24/2019
Enzo Costa,173.73,910.318.261-49,21980,6/10/2019
Matilde Fernandes,161.78,735.442.020-42,41271,6/1/2019
Caio Costa,177.27,615.574.747-45,42171,6/5/2019
Cauã Rodrigues,782.39,865.176.097-33,33505,6/12/2019
Livia Cavalcanti,912.47,920.767.006-25,41127,6/8/2019
Kauê Santos,137.08,587.628.338-04,45803,6/16/2019
Kaua Oliveira,204.91,872.021.947-40,46542,6/17/2019
Vinicius Azevedo,942.20,431.754.920-45,46039,6/14/2019
Alex Rocha,803.51,370.119.741-56,33710,6/10/2019
Rebeca Melo,534.50,192.401.534-03,35576,6/27/2019
Ágatha Cunha,184.69,966.851.083-63,38003,6/22/2019
Isabella Rocha,716.71,568.458.246-06,17574,6/12/2019
Matilde Barros,796.97,727.223.366-42,30110,6/20/2019
Sophia Pinto,472.56,999.562.661-67,16772,6/17/2019
Gabriela Gomes,613.08,715.736.761-01,20341,6/26/2019
Martim Gomes,259.03,977.069.358-84,44104,6/13/2019
Bruna Ribeiro,267.29,565.028.858-53,32738,6/17/2019
Isabella Cavalcanti,702.91,779.353.870-60,42975,6/3/2019
Mateus Santos,250.08,312.713.729-08,26598,6/6/2019
Gabrielle Sousa,179.17,623.245.755-23,44680,6/12/2019
Daniel Cunha,590.61,847.583.764-68,32707,6/9/2019
Luís Dias,467.27,542.460.565-61,15868,6/14/2019
Julieta Cavalcanti,984.21,978.823.763-02,10168,6/17/2019
Vinícius Correia,715.27,963.283.589-11,40115,6/28/2019
Sophia Carvalho,944.77,623.540.144-22,30633,6/18/2019
Ágatha Costa,202.16,249.214.877-74,26294,6/7/2019
Luan Carvalho,619.88,185.715.233-63,12205,6/17/2019
Leonor Rodrigues,821.69,898.476.790-53,24557,6/8/2019
Bruno Barbosa,187.29,260.164.639-06,15172,6/6/2019
Tânia Ribeiro,203.10,509.067.613-52,38951,6/9/2019
Eduarda Carvalho,379.61,695.976.058-56,41496,6/3/2019
Lara Fernandes,566.90,369.798.158-73,34542,6/19/2019
Luís Souza,320.22,651.428.256-32,31637,6/18/2019
Gabrielle Cunha,632.57,541.891.083-32,27553,6/13/2019
Brenda Dias,596.36,353.818.491-76,16934,6/3/2019
Nicolas Pereira,893.84,964.711.049-95,43956,6/5/2019
Gabriel Carvalho,310.41,101.950.140-57,44670,6/12/2019
Tomás Martins,527.44,660.010.703-00,41997,6/9/2019
Lavinia Costa,102.74,380.183.077-25,29763,6/2/2019
Felipe Melo,674.22,744.214.228-19,30295,6/19/2019
Gabrielly Souza,213.41,235.950.457-69,40766,6/29/2019
Gabrielle Rocha,473.68,720.189.193-69,16385,6/18/2019
Vinícius Rocha,385.38,476.448.010-73,49499,6/5/2019
Renan Almeida,200.49,205.716.505-11,43999,6/8/2019
Amanda Martins,248.91,149.048.958-43,12373,6/28/2019
Leonor Cardoso,813.99,848.057.333-30,37246,6/13/2019
Beatrice Lima,883.83,844.358.251-04,20997,6/19/2019
Alice Cardoso,620.53,872.743.667-50,46527,6/7/2019
Rodrigo Rocha,728.75,483.456.338-38,22051,6/27/2019
Tiago Pinto,358.91,445.954.478-41,17449,6/29/2019
Luís Lima,873.38,425.920.967-10,41478,6/1/2019
Paulo Silva,132.55,915.567.178-06,38002,6/6/2019
Alice Rocha,821.31,613.358.677-08,33822,6/5/2019
Enzo Rodrigues,473.66,637.210.145-96,31242,6/18/2019
Luís Rocha,336.26,378.803.679-69,40594,6/27/2019
Tânia Castro,464.68,389.341.324-34,17462,6/11/2019
Isabella Santos,964.08,588.444.503-21,30915,6/29/2019
Fernanda Cardoso,381.56,234.840.049-91,30660,6/8/2019
Aline Azevedo,976.99,411.985.433-70,34068,6/6/2019
Guilherme Sousa,578.62,667.264.146-76,31859,6/29/2019
Douglas Sousa,571.51,522.360.036-33,36718,6/19/2019
Gabrielly Araujo,899.76,418.835.455-01,44443,6/2/2019
Tomás Costa,890.91,527.295.367-36,35503,6/29/2019
Maria Rocha,874.95,375.280.174-34,21140,6/9/2019
Isabela Gomes,434.93,617.297.674-51,18079,6/19/2019
Enzo Sousa,643.16,498.565.343-80,34601,6/14/2019
Emilly Lima,627.82,554.556.320-27,38152,6/29/2019
Lavinia Correia,591.91,393.768.788-25,41762,6/24/2019
Danilo Pereira,240.97,454.131.725-75,43333,6/5/2019
Vitoria Pereira,790.53,724.932.607-40,47914,6/22/2019
Luan Silva,475.22,890.671.100-00,41450,6/8/2019
Amanda Cardoso,307.09,367.399.760-23,23677,6/18/2019
Alice Oliveira,365.06,625.160.130-27,28126,6/1/2019
Tomás Fernandes,712.38,336.510.196-91,24861,6/16/2019
Sophia Gomes,417.99,240.442.361-43,47707,6/16/2019
Kai Santos,986.75,894.187.124-74,17576,6/3/2019
Lara Almeida,811.61,563.026.460-57,25406,6/20/2019
Kai Dias,307.05,551.584.394-00,38175,6/12/2019
Breno Carvalho,485.10,560.722.082-66,42771,6/21/2019
Eduardo Barros,192.74,664.833.337-57,29335,6/11/2019
Larissa Melo,244.03,441.708.043-76,40670,6/7/2019
Kauã Ferreira,179.06,612.606.382-19,32498,6/13/2019
Sophia Pinto,468.74,816.961.388-41,41399,6/14/2019
Leila Costa,655.99,286.457.315-68,13604,6/5/2019
Luis Costa,825.84,538.487.245-45,26800,6/27/2019
Luiz Souza,885.45,834.189.404-12,23821,6/10/2019
Camila Oliveira,773.29,618.425.043-47,47876,6/7/2019
Otávio Santos,942.55,720.932.690-15,30604,6/14/2019
Diego Martins,682.61,811.791.527-86,32765,6/19/2019
Gabrielle Barros,725.93,370.783.783-18,46002,6/19/2019
Gabriel Ferreira,392.31,950.147.923-40,13414,6/30/2019
Isabella Sousa,967.54,511.452.455-01,20101,6/10/2019
Luiza Pereira,779.40,335.669.401-43,28708,6/6/2019
Gabrielle Pereira,731.88,235.184.221-97,30738,6/22/2019
Fernanda Silva,253.58,859.371.531-11,36785,6/29/2019
Joao Pinto,485.11,508.856.242-03,14894,6/10/2019
Breno Pereira,811.06,987.400.085-68,14242,6/7/2019
Nicole Ferreira,578.63,950.284.392-49,40253,6/8/2019
Erick Alves,329.37,826.329.634-00,17511,6/2/2019
Eduarda Castro,341.70,278.288.328-34,27551,6/23/2019
Camila Pereira,682.35,881.196.823-27,45984,6/26/2019
Sophia Cardoso,551.45,171.521.579-60,11827,6/13/2019
Douglas Fernandes,707.85,794.987.495-31,30003,6/27/2019
Renan Alves,427.17,710.718.044-48,26644,6/23/2019
Nicolash Cardoso,233.83,788.161.262-21,19718,6/2/2019
Kaua Castro,465.18,353.724.370-73,31985,6/10/2019
Kaua Santos,152.58,830.105.111-67,47286,6/12/2019
Vinicius Lima,246.59,790.935.108-94,26321,6/11/2019
Diogo Sousa,995.04,360.446.415-38,17956,6/30/2019
Thiago Souza,131.10,921.320.771-93,16750,6/15/2019
Yasmin Pereira,883.48,444.939.684-78,34034,6/6/2019
Mariana Almeida,560.02,199.326.771-91,42248,6/5/2019
Melissa Lima,535.77,409.659.097-51,21293,6/26/2019
Luis Fernandes,373.87,549.445.524-67,39907,6/11/2019
Joao Barros,252.91,646.052.199-94,34484,6/10/2019
Júlio Santos,189.38,659.279.247-78,49049,6/30/2019
Gabriel Martins,201.53,130.094.355-68,48218,6/19/2019
Guilherme Pereira,401.04,483.045.102-51,27700,6/29/2019
Carla Lima,552.32,334.923.294-97,38928,6/17/2019
Fernanda Melo,124.75,926.415.695-07,28109,6/29/2019
Guilherme Oliveira,108.89,317.522.710-41,42613,6/12/2019
Júlia Oliveira,991.91,644.439.821-59,35551,6/12/2019
Júlia Pinto,691.29,493.872.907-51,48278,6/20/2019
Lucas Souza,897.17,936.838.969-14,37730,6/7/2019
Rebeca Sousa,134.23,931.707.495-28,44853,6/26/2019
Sophia Cunha,413.18,315.998.535-07,28342,6/25/2019
Gabriela Silva,206.31,809.298.840-43,45336,6/2/2019
Miguel Goncalves,721.32,379.501.089-67,49409,6/18/2019
Lara Pinto,937.51,116.879.153-77,30565,6/14/2019
Carla Rodrigues,929.35,901.846.153-99,17852,6/21/2019
Kai Azevedo,247.68,545.421.831-65,44185,6/17/2019
Bianca Sousa,639.85,129.270.970-70,45620,6/27/2019
Kai Cardoso,582.51,679.690.306-45,46445,6/22/2019
Bruno Azevedo,274.41,299.040.243-83,42064,6/20/2019
Vitór Fernandes,977.59,967.115.353-40,20820,6/9/2019
Raissa Almeida,542.74,579.488.113-54,26908,6/20/2019
Luís Pereira,519.89,295.351.197-02,28381,6/6/2019
Tânia Costa,703.46,188.154.176-21,28376,6/14/2019
Isabelle Fernandes,595.06,573.041.819-15,47636,6/5/2019
Alex Costa,374.54,650.921.887-90,44556,6/26/2019
Letícia Sousa,721.03,681.914.468-71,27349,6/17/2019
Isabella Rodrigues,830.02,368.228.329-39,27900,6/24/2019
Eduarda Almeida,315.74,482.576.829-69,23603,6/22/2019
Emilly Ribeiro,429.66,537.342.083-27,11589,6/15/2019
Eduardo Ribeiro,353.55,950.940.167-68,42741,6/8/2019
Matilde Oliveira,181.77,783.514.382-86,17236,6/10/2019
Giovana Pereira,272.92,999.510.136-00,32625,6/10/2019
Tomás Ferreira,463.66,989.142.839-76,38270,6/27/2019
Leonor Ribeiro,783.17,573.675.970-51,25864,6/9/2019
Marina Cunha,951.90,365.030.868-14,28437,6/19/2019
Raissa Sousa,808.12,113.579.835-49,10628,6/25/2019
Felipe Pereira,168.27,853.495.263-91,18325,6/25/2019
Carlos Pinto,408.69,226.971.199-81,26964,6/6/2019
Kai Alves,782.88,133.246.626-56,23601,6/9/2019
Alex Gomes,795.62,621.715.118-93,34081,6/17/2019
Caio Sousa,397.68,668.186.797-90,44442,6/11/2019
Rafaela Dias,933.97,990.351.279-19,34008,6/11/2019
Emilly Cavalcanti,237.79,263.026.044-51,23374,6/13/2019
Emily Barros,782.23,262.053.662-66,35674,6/12/2019
Julieta Barbosa,396.14,177.860.355-67,12835,6/23/2019
Erick Costa,925.29,405.772.012-04,29740,6/29/2019
Laura Silva,239.45,763.226.392-69,27353,6/20/2019
Daniel Costa,139.26,769.243.279-15,18936,6/30/2019
